2540.06,2538.22,2538.32,0.01,1.00
2540.52,2538.34,2538.54,0.07,6.00
2539.33,2538.39,2538.62,0.12,11.00
2537.23,2538.33,2538.48,0.13,12.00
2537.14,2538.27,2538.34,0.11,10.00
2535.85,2538.15,2538.09,0.06,6.00
2536.91,2538.09,2537.98,0.01,0.00
2537.73,2538.07,2537.95,-0.03,-2.00
2538.65,2538.10,2538.02,-0.04,-4.00
2540.52,2538.22,2538.27,-0.02,-1.00
2539.57,2538.29,2538.40,0.02,2.00
2539.48,2538.35,2538.51,0.06,6.00
2535.95,2538.23,2538.25,0.05,5.00
2533.47,2537.99,2537.78,-0.03,-2.00
2537.46,2537.96,2537.74,-0.08,-8.00
2538.51,2537.99,2537.82,-0.11,-11.00
2536.41,2537.91,2537.68,-0.15,-14.00
2537.83,2537.91,2537.69,-0.17,-16.00
2539.24,2537.97,2537.85,-0.15,-15.00
2540.89,2538.12,2538.15,-0.10,-9.00
2539.01,2538.16,2538.24,-0.05,-4.00
2537.36,2538.12,2538.15,-0.03,-2.00
2536.45,2538.04,2537.98,-0.04,-3.00
2539.24,2538.10,2538.11,-0.02,-2.00
2539.84,2538.19,2538.28,0.01,1.00
2539.70,2538.26,2538.42,0.06,5.00
2542.63,2538.48,2538.84,0.15,14.00
2543.00,2538.71,2539.26,0.27,26.00
2539.93,2538.77,2539.32,0.35,35.00
2538.65,2538.76,2539.26,0.40,39.00
2538.41,2538.74,2539.17,0.41,40.00
2540.30,2538.82,2539.29,0.42,42.00
2541.48,2538.96,2539.50,0.46,46.00
2540.06,2539.01,2539.56,0.49,48.00
2537.83,2538.95,2539.39,0.47,47.00
2539.84,2539.00,2539.43,0.46,46.00
2538.78,2538.99,2539.37,0.44,43.00
2540.06,2539.04,2539.44,0.43,42.00
2540.52,2539.11,2539.55,0.43,42.00
2538.19,2539.07,2539.41,0.40,40.00
2537.14,2538.97,2539.18,0.35,34.00
2536.77,2538.86,2538.94,0.27,26.00
2536.54,2538.74,2538.70,0.17,17.00
2537.96,2538.71,2538.63,0.10,9.00
2537.96,2538.67,2538.56,0.04,3.00
2539.84,2538.73,2538.69,0.01,1.00
2540.39,2538.81,2538.86,0.02,2.00
2541.22,2538.93,2539.09,0.07,6.00
2540.39,2539.00,2539.22,0.11,11.00
2543.22,2539.21,2539.62,0.20,20.00
2539.24,2539.22,2539.59,0.25,25.00
2538.41,2539.18,2539.47,0.26,26.00
2538.06,2539.12,2539.33,0.25,24.00
2539.01,2539.11,2539.30,0.23,22.00
2537.73,2539.05,2539.14,0.19,18.00
2539.61,2539.07,2539.19,0.17,16.00
2539.24,2539.08,2539.19,0.15,14.00
2539.61,2539.11,2539.23,0.14,14.00
2540.89,2539.20,2539.40,0.16,15.00
2539.48,2539.21,2539.41,0.17,17.00
2538.06,2539.15,2539.27,0.15,15.00
2536.77,2539.03,2539.02,0.10,10.00
2537.36,2538.95,2538.85,0.04,4.00
2539.93,2539.00,2538.96,0.02,2.00
2540.06,2539.05,2539.07,0.02,2.00
2539.11,2539.05,2539.08,0.02,2.00
2538.75,2539.04,2539.04,0.02,1.00
2535.81,2538.88,2538.72,-0.04,-3.00
2537.10,2538.79,2538.56,-0.10,-9.00
2536.50,2538.67,2538.35,-0.16,-16.00
2537.46,2538.61,2538.26,-0.22,-21.00
2540.06,2538.69,2538.44,-0.23,-22.00
2539.48,2538.73,2538.55,-0.21,-21.00
2538.65,2538.72,2538.56,-0.20,-19.00
2538.65,2538.72,2538.57,-0.18,-18.00
2536.18,2538.59,2538.33,-0.21,-20.00
2537.69,2538.55,2538.26,-0.23,-23.00
2539.33,2538.59,2538.37,-0.23,-22.00
2537.69,2538.54,2538.30,-0.23,-22.00
2536.04,2538.42,2538.08,-0.26,-26.00
2534.63,2538.23,2537.73,-0.33,-33.00
2536.86,2538.16,2537.64,-0.39,-38.00
2539.93,2538.25,2537.87,-0.38,-38.00
2537.83,2538.23,2537.87,-0.38,-37.00
2536.63,2538.15,2537.74,-0.38,-38.00
2537.10,2538.09,2537.68,-0.39,-39.00
2534.99,2537.94,2537.41,-0.43,-43.00
2536.04,2537.84,2537.27,-0.47,-47.00
2535.36,2537.72,2537.08,-0.52,-52.00
2536.63,2537.66,2537.04,-0.55,-55.00
2537.23,2537.64,2537.06,-0.56,-56.00
2538.06,2537.66,2537.16,-0.55,-54.00
2538.06,2537.68,2537.25,-0.51,-51.00
2537.00,2537.65,2537.22,-0.49,-48.00
2536.54,2537.59,2537.15,-0.47,-47.00
2537.23,2537.58,2537.16,-0.46,-45.00
2536.41,2537.52,2537.09,-0.45,-44.00
2535.58,2537.42,2536.94,-0.46,-45.00
2536.27,2537.36,2536.87,-0.47,-46.00
2538.28,2537.41,2537.01,-0.45,-44.00
2536.77,2537.38,2536.99,-0.43,-43.00
2536.41,2537.33,2536.93,-0.42,-42.00
2538.06,2537.36,2537.04,-0.39,-39.00
2535.95,2537.29,2536.93,-0.38,-38.00
2534.89,2537.17,2536.73,-0.40,-40.00
2535.36,2537.08,2536.59,-0.43,-42.00
2535.22,2536.99,2536.45,-0.46,-46.00
2534.99,2536.89,2536.31,-0.50,-49.00
2534.39,2536.76,2536.12,-0.54,-54.00
2536.04,2536.73,2536.11,-0.57,-56.00
2536.86,2536.73,2536.18,-0.56,-56.00
2536.41,2536.72,2536.21,-0.55,-54.00
2536.41,2536.70,2536.23,-0.53,-52.00
2537.10,2536.72,2536.31,-0.49,-49.00
2537.33,2536.75,2536.41,-0.45,-44.00
2536.04,2536.72,2536.38,-0.41,-41.00
2537.46,2536.75,2536.48,-0.37,-37.00
2536.41,2536.74,2536.48,-0.34,-33.00
2536.86,2536.74,2536.52,-0.30,-30.00
2534.76,2536.64,2536.34,-0.30,-30.00
2535.36,2536.58,2536.24,-0.31,-31.00
2534.53,2536.48,2536.07,-0.34,-34.00
2534.29,2536.37,2535.89,-0.38,-38.00
2533.47,2536.22,2535.65,-0.44,-43.00
2535.58,2536.19,2535.64,-0.47,-47.00
2536.86,2536.22,2535.77,-0.47,-46.00
2536.86,2536.26,2535.88,-0.44,-44.00
2536.86,2536.29,2535.97,-0.40,-40.00
2536.04,2536.27,2535.98,-0.37,-36.00
2536.41,2536.28,2536.02,-0.34,-33.00
2536.18,2536.28,2536.04,-0.31,-30.00
2534.53,2536.19,2535.89,-0.30,-30.00
2534.99,2536.13,2535.80,-0.31,-31.00
2534.99,2536.07,2535.72,-0.32,-32.00
2535.81,2536.06,2535.73,-0.33,-32.00
2536.86,2536.10,2535.84,-0.31,-30.00
2536.63,2536.13,2535.92,-0.28,-27.00
2536.04,2536.12,2535.93,-0.25,-25.00
2536.50,2536.14,2535.99,-0.22,-22.00
2536.27,2536.15,2536.02,-0.19,-19.00
2535.45,2536.11,2535.96,-0.18,-18.00
